"ancestor1","ancestor2","ancestor3"
302,153,130
127,122,126
124,104,114
121,101,97
105,89,97
102,89,97
100,85,94
96,83,85
96,81,84
95,73,81
93,72,80
93,70,79
92,70,74
91,69,72
85,68,71
84,68,69
83,67,68
79,67,67
78,64,67
77,64,67
77,62,66
75,61,65
75,61,64
71,60,63
71,60,63
67,59,62
66,58,62
65,57,61
65,57,60
63,56,60
62,56,59
62,55,59
62,55,59
61,55,59
61,54,58
61,52,58
60,51,57
59,51,55
59,51,54
58,51,53
57,50,53
55,50,53
54,48,52
54,47,50
51,47,50
51,47,49
49,46,49
48,46,48
47,45,47
47,45,46
46,44,46
46,44,45
45,44,45
45,43,44
45,42,43
45,42,43
44,41,43
44,41,42
44,41,42
43,41,42
42,40,42
42,40,42
40,40,42
39,40,42
39,40,40
39,39,40
39,39,40
37,38,39
37,38,39
36,37,39
36,36,39
35,35,39
35,35,38
35,35,38
35,35,38
35,35,37
35,34,37
34,34,37
33,33,37
32,33,37
32,33,36
32,32,35
32,32,35
32,32,35
32,32,34
32,31,34
32,31,34
31,31,34
29,31,33
29,31,33
29,31,33
28,31,32
27,31,32
27,31,32
27,31,32
26,31,31
26,30,31
26,30,31
26,30,31
26,30,30
26,30,30
26,30,30
25,30,30
25,30,30
25,29,29
25,29,29
24,29,29
24,29,29
24,29,29
24,29,28
24,28,28
24,28,28
24,28,28
24,27,27
24,27,27
24,27,27
24,27,27
23,27,27
23,27,27
23,27,27
23,26,26
22,26,25
22,26,25
22,26,25
22,26,25
22,25,25
22,25,25
22,25,25
22,25,25
22,25,25
22,25,25
22,25,24
22,25,24
21,25,23
21,25,23
20,25,23
20,24,23
20,24,23
20,24,23
20,24,23
20,24,23
20,24,22
20,24,22
20,24,22
20,24,22
19,24,22
19,23,22
19,23,22
19,23,21
19,23,21
19,23,21
19,23,21
19,23,21
18,23,21
18,22,21
18,22,21
18,22,21
18,21,21
18,21,21
18,21,21
18,21,21
17,21,20
17,21,20
17,21,19
17,21,19
17,21,19
17,21,19
17,21,19
17,21,18
17,21,18
17,20,18
17,20,18
17,20,18
16,19,18
16,19,18
16,19,17
16,19,17
16,19,17
16,19,17
16,19,17
15,19,17
15,19,17
15,18,16
15,18,16
15,18,16
15,18,16
15,18,16
15,18,16
15,18,16
15,18,16
15,18,16
15,17,16
14,17,16
14,17,16
14,17,15
14,17,15
14,17,15
14,17,15
14,17,15
14,17,15
13,17,15
13,17,15
13,17,15
13,17,15
13,17,15
13,17,14
13,16,14
13,16,14
13,16,14
13,16,14
13,16,14
13,16,14
13,16,14
12,16,14
12,16,14
12,16,14
12,16,14
12,16,14
12,16,14
11,15,13
11,15,13
11,15,13
11,15,13
11,15,13
11,15,13
11,15,13
11,15,13
11,15,13
11,15,13
11,15,12
11,15,12
11,15,12
11,14,12
11,14,12
11,14,12
11,14,12
11,14,12
11,14,12
11,14,12
10,14,12
10,14,12
10,14,11
10,14,11
10,14,11
10,14,11
10,14,11
10,13,11
10,13,11
10,13,11
10,13,10
