contig	cluster
0	4
1	7
2	3
3	4
4	1
5	5
6	1
7	5
8	6
9	5
10	1
11	5
12	1
13	3
14	1
15	7
16	5
17	4
18	4
19	7
20	4
21	6
22	7
23	7
24	5
25	1
26	7
27	2
28	2
29	2
30	3
31	3
32	4
33	6
34	5
35	1
36	5
37	2
38	7
39	6
40	7
41	3
42	5
43	7
44	4
45	7
46	2
47	1
48	7
49	5
50	2
51	1
52	7
53	6
54	7
55	1
56	7
57	7
58	1
59	7
60	3
61	6
62	6
63	7
64	3
65	4
66	1
67	6
68	5
69	4
70	1
71	2
72	4
73	2
74	1
75	3
76	7
77	2
78	1
79	2
80	1
81	5
82	4
83	1
84	5
85	1
86	6
87	3
88	3
89	6
90	4
91	3
92	1
93	7
94	2
95	1
96	4
97	7
98	7
99	1
100	2
101	1
102	3
103	1
104	1
105	2
106	7
107	2
108	3
109	2
110	6
111	1
112	5
113	7
114	5
115	4
116	7
117	1
118	1
119	7
120	6
121	1
122	1
123	5
124	1
125	1
126	1
127	7
128	1
129	6
130	1
131	6
132	2
133	5
134	2
135	2
136	3
137	5
138	6
139	1
140	6
141	1
142	4
143	5
144	1
145	5
146	2
147	7
148	5
149	1
150	7
151	6
152	3
153	7
154	6
155	1
156	6
157	4
158	5
159	3
160	3
161	5
162	5
163	1
164	7
165	2
166	5
167	1
168	6
169	5
170	1
171	1
172	6
173	7
174	1
175	2
176	1
177	7
178	3
179	1
180	7
181	5
182	7
183	2
184	5
185	7
186	1
187	1
188	3
189	2
190	7
191	6
192	7
193	7
194	7
195	3
196	3
197	4
198	5
199	2
200	1
201	4
202	5
203	5
204	3
205	5
206	4
207	1
208	7
209	4
210	4
211	3
212	1
213	7
214	6
215	2
216	4
217	2
218	7
219	1
220	5
221	6
222	2
223	4
224	5
225	2
226	1
227	2
228	5
229	4
230	4
231	6
232	3
233	1
234	4
235	4
236	1
237	7
238	5
239	5
240	1
241	4
242	4
243	1
244	1
245	1
246	1
247	2
248	7
249	6
