GeneFamily,Size,Genome
1,36,8
2,14,4
3,2,2
4,32,8
5,7,2
6,8,3
7,2,2
8,24,7
9,7,2
10,32,7
11,3,3
12,8,2
13,5,2
14,154,34
15,6,2
16,187,42
17,7,2
18,3,3
19,4,2
20,17,4
21,15,4
22,25,6
23,22,5
24,68,18
25,14,3
26,2,2
27,4,4
28,15,4
29,2,2
30,52,12
31,10,5
32,3,2
33,2,2
34,63,15
35,18,5
36,18,4
37,25,6
38,19,6
39,10,3
40,13,4
41,8,3
42,13,3
43,15,4
44,6,2
45,11,4
46,14,4
47,9,3
48,11,3
49,19,4
50,19,5
51,15,4
52,8,3
53,8,2
54,14,3
55,23,5
56,24,8
57,4,2
58,6,2
59,28,7
60,5,2
61,9,3
62,59,12
63,13,4
64,15,4
65,21,6
66,30,8
67,10,3
68,7,3
69,11,3
70,36,9
71,5,2
72,12,3
73,7,2
74,121,25
75,10,4
76,6,4
77,17,5
78,23,5
79,7,2
80,8,2
81,37,9
82,37,9
83,18,5
84,6,2
85,15,4
86,8,3
87,19,5
88,15,3
89,19,6
90,12,3
91,25,8
92,205,51
93,8,4
94,21,5
95,16,4
96,5,5
97,23,5
98,74,16
99,17,4
100,16,4
101,20,4
102,6,2
103,16,4
104,22,5
105,14,4
106,18,5
107,16,4
108,12,3
109,9,3
110,12,3
111,32,8
112,21,5
113,37,11
114,21,5
115,24,6
116,27,9
117,25,7
118,8,2
119,10,2
120,11,3
121,42,9
122,11,2
123,5,2
124,21,5
125,7,2
126,19,5
127,10,2
128,9,2
129,8,2
130,14,3
131,72,15
132,12,4
133,13,3
134,12,4
135,18,5
136,9,2
137,26,5
138,15,4
139,10,3
140,11,3
141,2,2
142,37,9
143,6,2
144,30,7
145,18,4
146,8,3
147,7,3
148,27,9
149,7,2
150,9,3
151,19,6
152,6,2
153,23,5
154,11,4
155,5,2
156,11,2
157,71,15
158,10,2
159,2,2
160,26,7
161,10,2
162,7,2
163,11,3
164,12,2
165,5,2
166,21,6
167,3,2
168,11,3
169,17,4
170,9,3
171,17,5
172,14,4
173,37,8
174,22,5
175,9,3
176,24,6
177,12,4
178,7,2
179,19,4
180,7,2
181,11,3
182,2,2
183,141,28
184,8,2
185,13,3
186,16,4
187,14,4
188,9,3
189,17,4
190,9,3
