"ancestor1","ancestor2","ancestor3","ancestor4"
84,89,85,88
70,72,85,75
67,60,84,69
63,58,72,67
56,53,63,66
54,47,61,66
47,47,58,65
46,47,58,65
45,46,57,65
44,46,53,61
43,44,52,61
43,43,51,61
43,42,50,58
40,41,48,58
38,41,48,58
37,41,47,57
37,41,47,56
36,41,47,55
36,41,47,54
36,40,46,51
34,39,46,49
34,38,45,48
34,38,44,47
33,37,44,47
32,36,44,46
32,36,43,46
31,35,42,46
31,34,40,45
31,34,39,45
30,34,38,44
30,34,38,43
29,34,38,43
29,34,37,43
29,33,37,42
29,33,36,41
28,33,35,41
28,32,35,40
28,32,35,40
28,32,34,39
28,32,34,39
27,32,34,38
27,32,34,38
27,32,34,38
27,31,33,37
26,31,33,37
26,31,33,37
26,30,33,37
26,30,33,36
26,30,32,36
26,30,32,36
25,29,32,36
25,29,32,35
25,29,32,35
25,29,32,35
25,29,32,35
24,29,31,34
24,28,31,34
24,28,31,34
24,28,31,34
24,28,31,34
24,28,31,33
24,27,30,33
24,27,30,33
23,27,29,33
23,26,29,32
23,26,29,32
23,26,29,31
22,26,29,31
22,26,29,31
22,26,28,30
22,26,28,30
22,25,28,30
21,25,28,30
21,25,28,29
21,25,28,29
21,25,27,29
21,25,27,29
21,24,27,29
21,24,27,29
21,24,27,28
20,24,27,28
20,24,27,27
20,23,26,27
20,23,26,27
20,23,26,27
20,23,26,27
19,23,26,27
19,23,26,27
19,23,26,26
19,23,26,26
19,22,26,26
19,22,26,26
19,22,25,25
19,22,25,25
19,22,25,25
19,22,24,25
19,22,24,24
19,21,24,24
19,21,24,24
19,21,24,24
19,21,23,24
18,21,23,24
18,21,23,23
18,21,23,23
18,21,23,23
18,21,23,23
18,21,23,23
18,20,22,23
17,20,22,23
17,20,22,23
17,20,22,22
17,20,22,22
17,20,22,22
17,20,22,22
17,20,21,22
17,20,21,21
17,20,21,21
17,19,21,21
17,19,21,21
16,19,21,21
16,19,21,21
16,19,20,21
16,19,20,21
16,19,20,20
16,19,20,20
16,19,20,20
16,18,20,20
16,18,20,20
16,18,19,20
16,18,19,20
16,18,19,20
16,18,19,20
16,18,19,20
16,18,19,20
15,18,19,20
15,18,19,20
15,18,19,19
15,17,18,19
15,17,18,19
15,17,18,19
15,17,18,19
15,17,18,19
15,17,18,19
15,17,18,19
15,17,18,18
15,17,17,18
15,17,17,18
15,17,17,18
15,17,17,18
15,17,17,18
14,16,17,17
14,16,17,17
14,16,17,17
14,16,17,17
14,16,17,17
14,16,17,17
14,16,17,17
14,16,16,17
14,16,16,16
14,15,16,16
14,15,16,16
14,15,16,16
14,15,16,16
14,15,16,16
14,15,16,16
14,15,16,16
14,15,16,16
14,15,16,16
14,15,15,16
14,15,15,16
14,15,15,16
14,15,15,16
13,15,15,16
13,14,15,15
13,14,15,15
13,14,15,15
13,14,15,15
13,14,15,15
13,14,15,15
13,14,15,15
13,14,15,15
13,14,15,15
13,14,14,15
13,14,14,14
13,14,14,14
13,14,14,14
13,14,14,14
13,14,14,14
13,14,14,14
13,14,14,14
13,14,14,14
13,14,14,14
13,14,14,14
12,14,14,14
12,14,14,14
12,14,14,14
12,14,13,14
12,14,13,14
12,14,13,13
12,13,13,13
12,13,13,13
12,13,13,13
12,13,13,13
12,13,13,13
12,13,13,13
12,13,13,13
12,13,13,13
12,13,13,13
12,13,13,13
12,13,12,13
12,13,12,13
12,13,12,13
12,13,12,13
12,13,12,13
12,13,12,12
12,13,12,12
12,13,12,12
11,13,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,12,12
11,12,11,11
11,12,11,11
11,12,11,11
11,12,11,11
11,12,11,11
11,11,11,11
11,11,11,11
11,11,11,11
11,11,11,11
11,11,11,11
11,11,11,11
11,11,11,10
11,11,11,10
11,11,11,10
11,11,11,10
10,11,11,10
10,11,11,10
