"","x"
"1","139"
"2","203"
"3","87"
"4","207"
"5","78"
"6","63"
"7","196"
"8","233"
"9","209"
"10","133"
"11","132"
"12","244"
"13","238"
"14","218"
"15","145"
"16","163"
"17","164"
"18","165"
"19","167"
"20","219"
"21","180"
"22","143"
"23","186"
"24","152"
"25","93"
"26","173"
"27","178"
"28","223"
"29","193"
"30","153"
"31","129"
"32","156"
"33","155"
"34","154"
"35","242"
"36","125"
"37","74"
"38","14"
"39","47"
"40","12"
"41","7"
"42","171"
"43","92"
"44","116"
"45","135"
"46","102"
"47","118"
"48","76"
"49","64"
"50","71"
"51","150"
"52","119"
"53","247"
"54","235"
"55","234"
"56","222"
"57","191"
"58","177"
"59","151"
"60","246"
"61","136"
"62","140"
"63","237"
"64","142"
"65","211"
"66","104"
"67","96"
"68","161"
"69","226"
"70","202"
"71","160"
"72","216"
"73","208"
"74","243"
"75","241"
"76","130"
"77","170"
"78","166"
"79","147"
"80","107"
"81","220"
"82","94"
"83","98"
"84","206"
"85","128"
"86","146"
"87","184"
"88","48"
"89","49"
"90","23"
"91","29"
"92","17"
"93","51"
"94","122"
"95","34"
"96","224"
"97","172"
"98","124"
"99","169"
"100","4"
"101","56"
"102","20"
"103","2"
"104","195"
"105","190"
"106","157"
"107","181"
"108","213"
"109","185"
"110","212"
"111","109"
"112","189"
"113","39"
"114","231"
"115","210"
"116","245"
"117","204"
"118","69"
"119","50"
"120","16"
"121","66"
"122","35"
"123","31"
"124","52"
"125","30"
"126","101"
"127","158"
"128","113"
"129","53"
"130","112"
"131","131"
"132","111"
"133","36"
"134","194"
"135","61"
"136","144"
"137","55"
"138","67"
"139","179"
"140","199"
"141","217"
"142","249"
"143","228"
"144","248"
"145","97"
"146","99"
"147","168"
"148","126"
"149","198"
"150","149"
"151","227"
"152","192"
"153","240"
"154","187"
"155","230"
"156","121"
"157","72"
"158","106"
"159","58"
"160","5"
"161","108"
"162","8"
"163","95"
"164","42"
"165","41"
"166","73"
"167","24"
"168","82"
"169","3"
"170","33"
"171","91"
"172","137"
"173","127"
"174","81"
"175","37"
"176","40"
"177","54"
"178","176"
"179","162"
"180","89"
"181","44"
"182","105"
"183","115"
"184","120"
"185","134"
"186","18"
"187","27"
"188","21"
"189","57"
"190","77"
"191","38"
"192","60"
"193","236"
"194","201"
"195","205"
"196","229"
"197","138"
"198","70"
"199","174"
"200","85"
"201","22"
"202","110"
"203","197"
"204","159"
"205","26"
"206","68"
"207","9"
"208","148"
"209","90"
"210","200"
"211","232"
"212","221"
"213","239"
"214","141"
"215","214"
"216","225"
"217","80"
"218","123"
"219","79"
"220","59"
"221","103"
"222","10"
"223","62"
"224","175"
"225","84"
"226","182"
"227","32"
"228","215"
"229","86"
"230","65"
"231","15"
"232","19"
"233","183"
"234","25"
"235","83"
"236","117"
"237","45"
"238","88"
"239","75"
"240","114"
"241","11"
"242","100"
"243","188"
"244","46"
"245","1"
"246","28"
"247","6"
"248","0"
"249","13"
"250","43"
