"contig","order","chromosome"
62,1,1
143,2,1
196,3,1
15,4,1
80,5,1
87,6,1
139,7,1
164,8,1
233,9,1
145,10,1
218,11,1
79,12,1
152,13,1
132,14,1
207,15,1
59,16,1
173,17,1
215,18,1
238,19,1
182,20,1
203,21,1
180,22,1
209,23,1
167,24,1
63,25,1
65,26,1
32,27,1
10,28,1
165,29,1
78,30,1
86,31,1
19,32,1
103,33,1
175,34,1
244,35,1
93,36,1
163,37,1
219,38,1
84,39,1
133,40,1
123,41,1
186,42,1
225,1,2
68,2,2
18,3,2
174,4,2
236,5,2
134,6,2
81,7,2
44,8,2
37,9,2
85,10,2
57,11,2
60,12,2
40,13,2
229,14,2
205,15,2
77,16,2
38,17,2
239,18,2
70,19,2
232,20,2
115,21,2
159,22,2
26,23,2
138,24,2
22,25,2
200,26,2
105,27,2
162,28,2
176,29,2
89,30,2
148,31,2
27,32,2
214,33,2
110,34,2
120,35,2
54,36,2
90,37,2
221,38,2
21,39,2
141,40,2
201,41,2
197,42,2
9,43,2
46,1,3
45,2,3
75,3,3
100,4,3
114,5,3
117,6,3
156,7,3
153,8,3
88,9,3
154,10,3
155,11,3
83,12,3
25,13,3
11,14,3
193,15,3
223,16,3
183,17,3
129,18,3
242,19,3
178,20,3
188,21,3
192,1,4
67,2,4
194,3,4
228,4,4
179,5,4
126,6,4
240,7,4
50,8,4
199,9,4
144,10,4
16,11,4
131,12,4
198,13,4
217,14,4
149,15,4
113,16,4
35,17,4
52,18,4
101,19,4
53,20,4
158,21,4
13,22,4
168,23,4
66,24,4
31,25,4
249,26,4
61,27,4
97,28,4
43,29,4
69,30,4
227,31,4
0,32,4
112,33,4
111,34,4
30,35,4
36,36,4
248,37,4
99,38,4
55,39,4
140,1,5
5,2,5
33,3,5
170,4,5
137,5,5
73,6,5
108,7,5
127,8,5
226,9,5
24,10,5
95,11,5
96,12,5
121,13,5
72,14,5
106,15,5
41,16,5
42,17,5
3,18,5
241,19,5
82,20,5
202,21,5
237,22,5
160,23,5
177,24,5
191,25,5
208,26,5
246,27,5
130,28,5
142,29,5
243,30,5
216,31,5
211,32,5
166,33,5
91,34,5
104,35,5
136,36,5
230,37,5
58,38,5
151,39,5
187,40,5
6,41,5
8,42,5
161,43,5
234,1,6
102,2,6
12,3,6
28,4,6
247,5,6
235,6,6
125,7,6
64,8,6
76,9,6
118,10,6
116,11,6
119,12,6
135,13,6
92,14,6
74,15,6
47,16,6
150,17,6
14,18,6
71,19,6
222,20,6
1,21,6
171,22,6
7,23,6
20,1,7
124,2,7
48,3,7
128,4,7
109,5,7
94,6,7
206,7,7
39,8,7
2,9,7
122,10,7
34,11,7
195,12,7
185,13,7
210,14,7
107,15,7
190,16,7
181,17,7
56,18,7
29,19,7
23,20,7
184,21,7
231,22,7
212,23,7
220,24,7
98,25,7
49,26,7
17,27,7
51,28,7
224,29,7
172,30,7
245,31,7
213,32,7
169,33,7
147,34,7
189,35,7
4,36,7
204,37,7
157,38,7
146,39,7
