Aco017381.1,1,1,23916160,23919065,+,7,0,25734,1,
Aco022866.1,1,1,24071971,24074560,+,7,0,25734,1,
Aco004586.1,1,5,4199868,4203422,+,20,10,25734,1,
Aco004584.1,1,5,4190144,4194726,-,13,228,25734,1,
Aco016093.1,1,21,1249508,1255217,+,13,228,25734,1,
Aco013481.1,1,20,624884,626577,-,5,1058,25734,1,
Aco017378.1,1,1,23887461,23895343,-,29,59,25734,1,
Aco013482.1,1,20,633686,639734,+,5,1058,25734,1,
CDS18262,1,8,8056993,8078495,+,29,59,33018,1,
CDS18248,1,8,7819117,7831530,-,22,348,33018,1,
CDS20104,1,9,5504311,5516376,-,10,1095,33018,1,
CDS20114,1,9,5939630,5946585,+,6,75,33018,1,
CDS18258,1,8,7922144,7931331,-,29,59,33018,1,
CDS20111,1,9,5846293,5856763,-,6,75,33018,1,
CDS17344,1,7,23274343,23304330,+,44,340,33018,1,
CDS20118,1,9,5945292,5946585,+,6,664,33018,1,
evm.model.AsparagusV1_10.503,1,10,9850225,9854300,-,12,1023,33908,1,
evm.model.AsparagusV1_04.1358,1,4,38563306,38569882,+,6,34,33908,1,
evm.model.AsparagusV1_04.1351,1,4,38297912,38322638,-,5,317,33908,1,
evm.model.AsparagusV1_04.1354,1,4,38400405,38409229,-,6,34,33908,1,
evm.model.AsparagusV1_10.505,1,10,9900718,9917833,+,5,750,33908,1,
evm.model.AsparagusV1_09.1036,1,9,38297984,38300259,+,10,877,33908,1,
evm.model.AsparagusV1_02.437,1,2,7761675,7764704,-,7,997,33908,1,
transcript:Dr11297.1,1,14,12075103,12079091,-,17,18,51051,1,
transcript:Dr09900.1,1,5,27422369,27431497,+,31,308,51051,1,
transcript:Dr12687.1,1,10,11962297,11969309,+,5,705,51051,1,
transcript:Dr11298.1,1,14,12090894,12096461,+,13,19,51051,1,
Sp07g00688,1,7,4140987,4148432,-,14,273,51364,1,
Sp16g00305,1,16,1731062,1747011,+,25,247,51364,1,
Sp10g00303,1,10,1968815,1969765,-,14,8,51364,1,
Sp10g00309,1,10,2023645,2025945,+,14,8,51364,1,
PAC4GC:49835095,1,3,20635948,20646006,-,9,43,54711,1,
PAC4GC:49838512,1,12,13945069,13949977,-,33,317,54711,1,
PAC4GC:49839967,1,12,14027638,14032850,+,33,317,54711,1,
PAC4GC:49835557,1,3,20670702,20675470,+,12,331,54711,1,
PAC4GC:49838174,1,12,13974641,13985155,+,36,31,54711,1,
Aco017382.1,2,1,23920557,23923414,+,7,0,25734,1,
Aco022867.1,2,1,24075705,24079198,+,7,0,25734,1,
Aco004587.1,2,5,4206197,4209319,+,20,10,25734,1,
CDS17346,2,7,23309575,23321982,+,41,53,33018,1,
CDS18263,2,8,8086917,8095738,+,29,59,33018,1,
CDS17345,2,7,23309575,23323503,+,28,297,33018,1,
CDS20123,2,9,6063180,6070837,+,6,302,33018,1,
evm.model.AsparagusV1_02.443,2,2,7842963,7848937,+,7,305,33908,1,
evm.model.AsparagusV1_10.506,2,10,9947476,9956728,+,8,837,33908,1,
evm.model.AsparagusV1_09.1052,2,9,39379523,39388195,+,10,877,33908,1,
transcript:Dr09898.1,2,5,27445243,27448974,+,31,308,51051,1,
Sp16g00304,2,16,1721815,1729608,+,19,15,51364,1,
Sp07g00686,2,7,4122887,4125355,-,14,273,51364,1,
PAC4GC:49840003,2,12,13916818,13921178,-,33,317,54711,1,
Aco017383.1,3,1,23925675,23938169,-,7,0,25734,1,
Aco022868.1,3,1,24079927,24080371,-,7,0,25734,1,
Aco017384.1,4,1,23945517,23949914,+,7,0,25734,1,
Aco026214.1,4,1,24148343,24152734,+,7,0,25734,1,
Aco013479.1,4,20,593651,599124,-,7,57,25734,1,
Aco017323.1,4,1,23514572,23518475,+,8,49,25734,1,
Aco003584.1,4,17,3986865,3990829,+,8,49,25734,1,
Aco013524.1,4,20,970394,983207,+,8,1026,25734,1,
Aco004535.1,4,5,3794907,3798251,+,5,266,25734,1,
Aco015821.1,4,17,5815154,5822489,+,8,732,25734,1,
CDS17351,4,7,23561827,23591905,+,9,58,33018,1,
CDS4997,4,2,32693892,32718803,+,8,1026,33018,1,
CDS18266,4,8,8228101,8256445,+,29,59,33018,1,
CDS20126,4,9,6207163,6214953,+,6,75,33018,1,
CDS4995,4,2,32664429,32674870,+,19,104,33018,1,
evm.model.AsparagusV1_04.1364,4,4,38742590,38755701,+,6,32,33908,1,
evm.model.AsparagusV1_09.1055,4,9,39723569,39733724,+,10,877,33908,1,
evm.model.AsparagusV1_09.1125,4,9,45583232,45623382,+,5,242,33908,1,
evm.model.AsparagusV1_10.509,4,10,10096771,10107704,+,6,85,33908,1,
transcript:Dr07697.1,4,10,6551042,6557254,+,21,810,51051,1,
transcript:Dr13837.1,4,4,27587717,27600460,+,6,44,51051,1,
